"","city_name","lon","lat","dest.sum","origin.sum"
"1","Aberdeen, SD",-98.4864829,45.4646985,728,728
"2","Abilene, TX",-99.7331439,32.4487364,629,630
"3","Adak Island, AK",-176.6217472,51.7615874,103,103
"4","Akron, OH",-81.5190053,41.0814447,6178,6180
"5","Albany, GA",-84.155741,31.5785074,630,631
"6","Albany, NY",-73.7562317,42.6525793,10548,10548
"7","Albuquerque, NM",-106.650422,35.0843859,20702,20699
"8","Alexandria, LA",-92.4451371,31.3112936,1951,1953
"9","Allentown/Bethlehem/Easton, PA",-75.441415,40.651834,2853,2854
"10","Alpena, MI",-83.4327528,45.0616794,623,623
"11","Amarillo, TX",-101.8312969,35.2219971,3693,3692
"12","Anchorage, AK",-149.9002778,61.2180556,17443,17449
"13","Appleton, WI",-88.4153847,44.2619309,3324,3325
"14","Arcata/Eureka, CA",-124.1065825,40.9709197,1205,1204
"15","Asheville, NC",-82.5514869,35.5950581,4588,4587
"16","Ashland, WV",-81.3526016,37.4084488,130,130
"17","Aspen, CO",-106.8175387,39.1910983,6263,6260
"18","Atlanta, GA",-84.3879824,33.7489954,366548,366563
"19","Atlantic City, NJ",-74.4229266,39.3642834,3444,3444
"20","Augusta, GA",-82.0105148,33.4734978,2794,2796
"21","Austin, TX",-97.7430608,30.267153,56033,56026
"22","Bakersfield, CA",-119.0187125,35.3732921,2234,2235
"23","Baltimore, MD",-76.6121893,39.2903848,103438,103437
"24","Bangor, ME",-68.7712257,44.8016128,1894,1894
"25","Barrow, AK",-156.788611,71.2905556,833,833
"26","Baton Rouge, LA",-91.1871466,30.4514677,6913,6913
"27","Beaumont/Port Arthur, TX",-94.1265562,30.080174,241,241
"28","Belleville, IL",-89.9839935,38.5200504,324,324
"29","Bellingham, WA",-122.4786854,48.7519112,1382,1381
"30","Bemidji, MN",-94.8826861,47.471573,727,727
"31","Bend/Redmond, OR",-121.299079,44.1617823,3899,3902
"32","Bethel, AK",-161.7558334,60.7922222,919,919
"33","Billings, MT",-108.5006904,45.7832856,3669,3670
"34","Binghamton, NY",-75.9179738,42.0986867,874,874
"35","Birmingham, AL",-86.80249,33.5206608,13529,13527
"36","Bismarck/Mandan, ND",-100.8895761,46.8266603,2907,2909
"37","Bloomington/Normal, IL",-88.9906312,40.5142026,2536,2537
"38","Boise, ID",-116.2023137,43.6150186,17289,17288
"39","Boston, MA",-71.0588801,42.3600825,131545,131539
"40","Bozeman, MT",-111.0429339,45.6769979,5557,5555
"41","Brainerd, MN",-94.2020084,46.3526733,636,637
"42","Bristol/Johnson City/Kingsport, TN",-82.1888089,36.595141,2052,2052
"43","Brownsville, TX",-97.4974838,25.9017472,1436,1434
"44","Brunswick, GA",-81.4914894,31.1499528,694,695
"45","Buffalo, NY",-78.8783689,42.8864468,20373,20374
"46","Bullhead City, AZ",-114.5285981,35.1359386,290,290
"47","Burbank, CA",-118.3089661,34.1808392,26045,26043
"48","Burlington, VT",-73.212072,44.4758825,5039,5036
"49","Butte, MT",-112.5347775,46.0038232,677,675
"50","Cape Girardeau, MO",-89.5181476,37.3058839,256,255
"51","Casper, WY",-106.3251749,42.8500769,812,811
"52","Cedar City, UT",-113.0618931,37.6774769,623,623
"53","Cedar Rapids/Iowa City, IA",-104.990251,41.9778795,6878,6878
"54","Champaign/Urbana, IL",-88.2433829,40.1164204,762,762
"55","Charleston, SC",-79.9310512,32.7764749,16762,16759
"56","Charleston/Dunbar, WV",-81.7373485,38.3606509,2788,2789
"57","Charlotte, NC",-80.8431267,35.2270869,149860,149870
"58","Charlottesville, VA",-78.4766781,38.0293059,3273,3270
"59","Chattanooga, TN",-85.3096801,35.0456297,4885,4884
"60","Chicago, IL",-87.6297982,41.8781136,375176,375211
"61","Cincinnati, OH",-84.5120196,39.1031182,29327,29328
"62","Clarksburg/Fairmont, WV",-80.1425781,39.4850848,373,373
"63","Cleveland, OH",-81.6943605,41.49932,40711,40705
"64","Cody, WY",-109.0565308,44.5263422,993,991
"65","College Station/Bryan, TX",-96.3344068,30.627977,1650,1650
"66","Colorado Springs, CO",-104.8213634,38.8338816,9705,9707
"67","Columbia, MO",-92.3340724,38.9517053,1339,1338
"68","Columbia, SC",-81.0348144,34.0007104,4391,4391
"69","Columbus, GA",-84.9877094,32.4609764,848,849
"70","Columbus, MS",-88.4272627,33.4956744,957,957
"71","Columbus, OH",-82.9987942,39.9611755,30986,30986
"72","CONCORD, NC",-80.579511,35.4087517,292,292
"73","Cordova, AK",-145.7525414,60.5424087,724,724
"74","Corpus Christi, TX",-97.396381,27.8005828,3585,3585
"75","Dallas, TX",-96.7969879,32.7766642,70157,70155
"76","Dallas/Fort Worth, TX",-97.0403352,32.8998091,210461,210467
"77","Dayton, OH",-84.1916069,39.7589478,8332,8333
"78","Daytona Beach, FL",-81.0228331,29.2108147,2516,2515
"79","Deadhorse, AK",-148.4597191,70.2001996,763,763
"80","Denver, CO",-104.990251,39.7392358,226826,226778
"81","Des Moines, IA",-93.6091064,41.6005448,10464,10464
"82","Detroit, MI",-83.0457538,42.331427,137402,137387
"83","Devils Lake, ND",-98.8651202,48.112779,624,624
"84","Dillingham, AK",-158.4575,59.0397222,84,84
"85","Dothan, AL",-85.3904888,31.2232313,1293,1293
"86","Dubuque, IA",-90.6645718,42.5005583,343,343
"87","Duluth, MN",-92.1004852,46.7866719,2729,2724
"88","Durango, CO",-107.8800667,37.27528,1926,1926
"89","Eagle, CO",-106.8286507,39.6552634,1795,1795
"90","Eau Claire, WI",-91.4984941,44.811349,687,687
"91","El Paso, TX",-106.4850217,31.7618778,12399,12394
"92","Elko, NV",-115.7631232,40.8324211,660,660
"93","Elmira/Corning, NY",-76.893638,42.15987,286,288
"94","Erie, PA",-80.085059,42.1292241,1368,1369
"95","Escanaba, MI",-87.0645801,45.7452466,625,625
"96","Eugene, OR",-123.0867536,44.0520691,4146,4149
"97","Evansville, IN",-87.5710898,37.9715592,2681,2682
"98","Fairbanks, AK",-147.7163888,64.8377778,3604,3603
"99","Fargo, ND",-96.7898034,46.8771863,4139,4141
"100","Fayetteville, AR",-94.1718542,36.082156,7512,7510
"101","Fayetteville, NC",-78.8783585,35.0526641,1937,1937
"102","Flagstaff, AZ",-111.651302,35.1982836,1286,1286
"103","Flint, MI",-83.6874562,43.0125274,4109,4107
"104","Florence, SC",-79.7625625,34.1954331,158,156
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,88764,88767
"106","Fort Myers, FL",-81.8723084,26.640628,31205,31205
"107","Fort Smith, AR",-94.3985475,35.3859242,1383,1383
"108","Fort Wayne, IN",-85.1393513,41.079273,6144,6144
"109","Fresno, CA",-119.7871247,36.7377981,8842,8843
"110","Gainesville, FL",-82.3248262,29.6516344,2157,2157
"111","Garden City, KS",-100.8726618,37.9716898,240,240
"112","Gillette, WY",-105.5022205,44.2910915,976,976
"113","Grand Forks, ND",-97.0328547,47.9252568,1567,1568
"114","Grand Island, NE",-98.3420118,40.9263957,533,533
"115","Grand Junction, CO",-108.5506486,39.0638705,2874,2877
"116","Grand Rapids, MI",-85.6680863,42.9633599,12658,12662
"117","Great Falls, MT",-111.3007715,47.5052849,1636,1636
"118","Green Bay, WI",-88.0132958,44.5133188,4425,4425
