"","dest_city_name","dest_lon","dest_lat","one"
"1","Kona, HI",-155.9969261,19.639994,13792
"2","Hilo, HI",-155.0868193,19.7241106,6573
"3","Kahului, HI",-156.4729469,20.8893351,24609
"4","Honolulu, HI",-157.8583333,21.3069444,48152
"5","Lihue, HI",-159.3711111,21.9811111,13103
"6","Key West, FL",-81.7799871,24.5550593,2818
"7","Miami, FL",-80.1917902,25.7616798,71263
"8","Brownsville, TX",-97.4974838,25.9017472,1436
"9","Fort Lauderdale, FL",-80.1373174,26.1224386,88764
"10","Harlingen/San Benito, TX",-97.6311006,26.132576,2826
"11","Mission/McAllen/Edinburg, TX",-98.3252932,26.2159066,2816
"12","Fort Myers, FL",-81.8723084,26.640628,31205
"13","West Palm Beach/Palm Beach, FL",-80.0533746,26.7153424,24666
"14","Punta Gorda, FL",-82.0453664,26.9297836,1980
"15","Sarasota/Bradenton, FL",-82.5306527,27.3364347,3923
"16","Laredo, TX",-99.4803241,27.5305671,1961
"17","St. Petersburg, FL",-82.6402915,27.7676008,2561
"18","Corpus Christi, TX",-97.396381,27.8005828,3585
"19","Tampa, FL",-82.4571776,27.950575,70940
"20","Melbourne, FL",-80.6081089,28.0836269,1872
"21","Orlando, FL",-81.3792365,28.5383355,129171
"22","Sanford, FL",-81.269453,28.8028612,3311
"23","Daytona Beach, FL",-81.0228331,29.2108147,2516
"24","San Antonio, TX",-98.4936282,29.4241219,35326
"25","Gainesville, FL",-82.3248262,29.6516344,2157
"26","Houston, TX",-95.3698028,29.7604267,196851
"27","St. Augustine, FL",-81.3124341,29.9012437,60
"28","New Orleans, LA",-90.0715323,29.9510658,50903
"29","Beaumont/Port Arthur, TX",-94.1265562,30.080174,241
"30","Panama City, FL",-85.6602058,30.1588129,4512
"31","Lafayette, LA",-92.0198427,30.2240897,2987
"32","Lake Charles, LA",-93.2173758,30.2265949,1283
"33","Austin, TX",-97.7430608,30.267153,56033
"34","Jacksonville, FL",-81.655651,30.3321838,20777
"35","Gulfport/Biloxi, MS",-89.0928155,30.3674198,2893
"36","Pensacola, FL",-87.2169149,30.421309,6875
"37","Tallahassee, FL",-84.2807329,30.4382559,3349
"38","Baton Rouge, LA",-91.1871466,30.4514677,6913
"39","Valparaiso, FL",-86.5027282,30.5085309,4646
"40","College Station/Bryan, TX",-96.3344068,30.627977,1650
"41","Mobile, AL",-88.0398912,30.6953657,4556
"42","Valdosta, GA",-83.2784851,30.8327022,667
"43","Killeen, TX",-97.7277959,31.1171194,1865
"44","Brunswick, GA",-81.4914894,31.1499528,694
"45","Dothan, AL",-85.3904888,31.2232313,1293
"46","Alexandria, LA",-92.4451371,31.3112936,1951
"47","San Angelo, TX",-100.4370375,31.4637723,1074
"48","Hattiesburg/Laurel, MS",-89.335421,31.468239,722
"49","Waco, TX",-97.1466695,31.549333,469
"50","Albany, GA",-84.155741,31.5785074,630
"51","El Paso, TX",-106.4850217,31.7618778,12399
"52","Midland/Odessa, TX",-102.3676431,31.8456816,6386
"53","Savannah, GA",-81.091203,32.0808989,9943
"54","Tucson, AZ",-110.9747108,32.2226066,15954
"55","Tyler, TX",-95.3010624,32.3512601,478
"56","Jackson/Vicksburg, MS",-90.8745758,32.3522304,5489
"57","Meridian, MS",-88.703656,32.3643098,1087
"58","Montgomery, AL",-86.2999689,32.3668052,2228
"59","Abilene, TX",-99.7331439,32.4487364,629
"60","Columbus, GA",-84.9877094,32.4609764,848
"61","Longview, TX",-94.7404891,32.5007037,223
"62","Monroe, LA",-92.1193012,32.5093109,2312
"63","Shreveport, LA",-93.7501789,32.5251516,5282
"64","Yuma, AZ",-114.6276916,32.6926512,1379
"65","Hobbs, NM",-103.1360403,32.7026116,659
"66","San Diego, CA",-117.1610838,32.715738,86860
"67","Charleston, SC",-79.9310512,32.7764749,16762
"68","Dallas, TX",-96.7969879,32.7766642,70157
"69","Dallas/Fort Worth, TX",-97.0403352,32.8998091,210461
"70","Roswell, NM",-104.5230242,33.3942655,715
"71","Texarkana, AR",-94.0376881,33.4417915,328
"72","Phoenix, AZ",-112.0740373,33.4483771,162306
"73","Augusta, GA",-82.0105148,33.4734978,2794
"74","Columbus, MS",-88.4272627,33.4956744,957
"75","Birmingham, AL",-86.80249,33.5206608,13529
"76","Lubbock, TX",-101.8551665,33.5778631,4857
"77","Myrtle Beach, SC",-78.8866943,33.6890603,7670
"78","Santa Ana, CA",-117.867653,33.7454725,41959
"79","Atlanta, GA",-84.3879824,33.7489954,366548
"80","Long Beach, CA",-118.1937395,33.7700504,17013
"81","Palm Springs, CA",-116.5452921,33.8302961,9600
"82","Wichita Falls, TX",-98.4933873,33.9137085,355
"83","Columbia, SC",-81.0348144,34.0007104,4391
"84","Los Angeles, CA",-118.2436849,34.0522342,216659
"85","Ontario, CA",-117.6508876,34.0633443,21106
"86","Burbank, CA",-118.3089661,34.1808392,26045
"87","Florence, SC",-79.7625625,34.1954331,158
"88","Wilmington, NC",-77.9447102,34.2257255,3294
"89","Santa Barbara, CA",-119.6981901,34.4208305,5830
"90","Lawton/Fort Sill, OK",-98.4184224,34.5938359,947
"91","Jacksonville/Camp Lejeune, NC",-77.4013403,34.6250544,1472
"92","New Bern/Morehead/Beaufort, NC",-76.7239774,34.6988297,823
"93","Huntsville, AL",-86.5861037,34.7303688,5397
"94","Little Rock, AR",-92.2895948,34.7464809,9298
"95","Greer, SC",-82.2270568,34.9387279,8201
"96","Santa Maria, CA",-120.4357191,34.9530337,52
"97","Chattanooga, TN",-85.3096801,35.0456297,4885
"98","Fayetteville, NC",-78.8783585,35.0526641,1937
"99","Albuquerque, NM",-106.650422,35.0843859,20702
"100","Bullhead City, AZ",-114.5285981,35.1359386,290
