"","origin_city_name","origin.sum"
"1","Aberdeen, SD",728
"2","Abilene, TX",630
"3","Adak Island, AK",103
"4","Akron, OH",6180
"5","Albany, GA",631
"6","Albany, NY",10548
"7","Albuquerque, NM",20699
"8","Alexandria, LA",1953
"9","Allentown/Bethlehem/Easton, PA",2854
"10","Alpena, MI",623
"11","Amarillo, TX",3692
"12","Anchorage, AK",17449
"13","Appleton, WI",3325
"14","Arcata/Eureka, CA",1204
"15","Asheville, NC",4587
"16","Ashland, WV",130
"17","Aspen, CO",6260
"18","Atlanta, GA",366563
"19","Atlantic City, NJ",3444
"20","Augusta, GA",2796
"21","Austin, TX",56026
"22","Bakersfield, CA",2235
"23","Baltimore, MD",103437
"24","Bangor, ME",1894
"25","Barrow, AK",833
"26","Baton Rouge, LA",6913
"27","Beaumont/Port Arthur, TX",241
"28","Belleville, IL",324
"29","Bellingham, WA",1381
"30","Bemidji, MN",727
"31","Bend/Redmond, OR",3902
"32","Bethel, AK",919
"33","Billings, MT",3670
"34","Binghamton, NY",874
"35","Birmingham, AL",13527
"36","Bismarck/Mandan, ND",2909
"37","Bloomington/Normal, IL",2537
"38","Boise, ID",17288
"39","Boston, MA",131539
"40","Bozeman, MT",5555
"41","Brainerd, MN",637
"42","Bristol/Johnson City/Kingsport, TN",2052
"43","Brownsville, TX",1434
"44","Brunswick, GA",695
"45","Buffalo, NY",20374
"46","Bullhead City, AZ",290
"47","Burbank, CA",26043
"48","Burlington, VT",5036
"49","Butte, MT",675
"50","Cape Girardeau, MO",255
"51","Casper, WY",811
"52","Cedar City, UT",623
"53","Cedar Rapids/Iowa City, IA",6878
"54","Champaign/Urbana, IL",762
"55","Charleston, SC",16759
"56","Charleston/Dunbar, WV",2789
"57","Charlotte, NC",149870
"58","Charlottesville, VA",3270
"59","Chattanooga, TN",4884
"60","Chicago, IL",375211
"61","Cincinnati, OH",29328
"62","Clarksburg/Fairmont, WV",373
"63","Cleveland, OH",40705
"64","Cody, WY",991
"65","College Station/Bryan, TX",1650
"66","Colorado Springs, CO",9707
"67","Columbia, MO",1338
"68","Columbia, SC",4391
"69","Columbus, GA",849
"70","Columbus, MS",957
