"","city_name","lat","lon","flights.sum","cancelled.counter","delay.counter","nas_delay.counter","carrier_delay.counter","weather_delay.counter","security_delay.counter","late_aircraft_delay.counter"
"1","Aberdeen, SD",45.4646985,-98.4864829,728,10,201,55,46,3,2,41
"2","Abilene, TX",32.4487364,-99.7331439,630,18,182,61,71,18,0,57
"3","Adak Island, AK",51.7615874,-176.6217472,103,8,44,13,6,3,15,3
"4","Akron, OH",41.0814447,-81.5190053,6180,134,1627,747,471,68,1,455
"5","Albany, GA",31.5785074,-84.155741,631,5,188,93,51,15,0,69
"6","Albany, NY",42.6525793,-73.7562317,10548,186,3469,1054,976,88,5,1037
"7","Albuquerque, NM",35.0843859,-106.650422,20699,157,7350,1341,1634,80,7,2243
"8","Alexandria, LA",31.3112936,-92.4451371,1953,58,350,197,84,22,1,156
"9","Allentown/Bethlehem/Easton, PA",40.651834,-75.441415,2854,48,834,297,188,31,4,273
"10","Alpena, MI",45.0616794,-83.4327528,623,18,236,56,41,17,11,48
"11","Amarillo, TX",35.2219971,-101.8312969,3692,80,896,210,199,23,1,286
"12","Anchorage, AK",61.2180556,-149.9002778,17449,149,3268,1072,756,48,4,539
"13","Appleton, WI",44.2619309,-88.4153847,3325,49,738,223,141,26,0,262
"14","Arcata/Eureka, CA",40.9709197,-124.1065825,1204,44,351,140,19,1,1,173
"15","Asheville, NC",35.5950581,-82.5514869,4587,83,1451,575,266,40,1,612
"16","Ashland, WV",37.4084488,-81.3526016,130,1,66,18,36,3,0,25
"17","Aspen, CO",39.1910983,-106.8175387,6260,332,1786,696,339,121,2,840
"18","Atlanta, GA",33.7489954,-84.3879824,366563,4372,130933,26819,32913,5892,85,25696
"19","Atlantic City, NJ",39.3642834,-74.4229266,3444,96,692,413,152,19,1,142
"20","Augusta, GA",33.4734978,-82.0105148,2796,34,908,279,217,16,0,350
"21","Austin, TX",30.267153,-97.7430608,56026,586,20711,4929,5016,372,36,5488
"22","Bakersfield, CA",35.3732921,-119.0187125,2235,15,462,164,83,3,1,175
"23","Baltimore, MD",39.2903848,-76.6121893,103437,1857,41591,9261,11221,730,57,9994
"24","Bangor, ME",44.8016128,-68.7712257,1894,132,544,402,179,26,0,179
"25","Barrow, AK",71.2905556,-156.788611,833,19,134,45,5,5,16,43
"26","Baton Rouge, LA",30.4514677,-91.1871466,6913,121,1694,543,603,28,0,565
"27","Beaumont/Port Arthur, TX",30.080174,-94.1265562,241,14,41,31,16,8,0,17
"28","Belleville, IL",38.5200504,-89.9839935,324,3,138,40,32,6,0,55
"29","Bellingham, WA",48.7519112,-122.4786854,1381,19,312,153,59,15,6,94
"30","Bemidji, MN",47.471573,-94.8826861,727,5,185,59,46,3,2,42
"31","Bend/Redmond, OR",44.1617823,-121.299079,3902,54,992,408,141,22,7,378
"32","Bethel, AK",60.7922222,-161.7558334,919,27,160,76,15,5,32,46
"33","Billings, MT",45.7832856,-108.5006904,3670,18,565,225,109,20,0,223
"34","Binghamton, NY",42.0986867,-75.9179738,874,23,213,65,37,6,0,85
"35","Birmingham, AL",33.5206608,-86.80249,13527,240,3887,1011,867,80,7,1253
"36","Bismarck/Mandan, ND",46.8266603,-100.8895761,2909,47,630,225,118,22,7,269
"37","Bloomington/Normal, IL",40.5142026,-88.9906312,2537,45,584,246,155,26,3,243
"38","Boise, ID",43.6150186,-116.2023137,17288,81,4023,1101,840,95,1,1183
"39","Boston, MA",42.3600825,-71.0588801,131539,3705,47683,17202,15811,1520,113,14082
"40","Bozeman, MT",45.6769979,-111.0429339,5555,34,1438,479,294,57,0,441
"41","Brainerd, MN",46.3526733,-94.2020084,637,10,146,67,37,4,2,39
"42","Bristol/Johnson City/Kingsport, TN",36.595141,-82.1888089,2052,20,487,127,116,10,1,187
"43","Brownsville, TX",25.9017472,-97.4974838,1434,46,185,77,32,16,1,80
"44","Brunswick, GA",31.1499528,-81.4914894,695,9,159,69,44,0,1,58
"45","Buffalo, NY",42.8864468,-78.8783689,20374,564,6482,2274,1635,179,1,2184
"46","Bullhead City, AZ",35.1359386,-114.5285981,290,0,105,50,8,0,0,50
"47","Burbank, CA",34.1808392,-118.3089661,26043,422,10576,2300,2244,74,4,3650
"48","Burlington, VT",44.4758825,-73.212072,5036,264,1567,783,420,60,1,484
"49","Butte, MT",46.0038232,-112.5347775,675,10,96,34,9,8,0,38
"50","Cape Girardeau, MO",37.3058839,-89.5181476,255,13,67,35,23,1,0,19
"51","Casper, WY",42.8500769,-106.3251749,811,1,92,35,11,1,0,35
"52","Cedar City, UT",37.6774769,-113.0618931,623,1,166,62,11,1,0,80
"53","Cedar Rapids/Iowa City, IA",41.9778795,-104.990251,6878,105,1862,669,362,100,4,691
"54","Champaign/Urbana, IL",40.1164204,-88.2433829,762,35,161,85,35,21,0,61
"55","Charleston, SC",32.7764749,-79.9310512,16759,535,4787,1388,1173,60,10,1534
"56","Charleston/Dunbar, WV",38.3606509,-81.7373485,2789,89,803,304,180,38,0,294
"57","Charlotte, NC",35.2270869,-80.8431267,149870,2452,51041,16823,15929,1814,269,13731
"58","Charlottesville, VA",38.0293059,-78.4766781,3270,109,1038,370,279,29,7,403
"59","Chattanooga, TN",35.0456297,-85.3096801,4884,92,1411,570,324,30,0,532
"60","Chicago, IL",41.8781136,-87.6297982,375211,6583,138640,40646,38737,6639,93,38194
"61","Cincinnati, OH",39.1031182,-84.5120196,29328,497,8352,3399,1890,371,7,2386
"62","Clarksburg/Fairmont, WV",39.4850848,-80.1425781,373,12,100,56,46,5,0,16
"63","Cleveland, OH",41.49932,-81.6943605,40705,709,11306,4268,3070,184,34,3111
"64","Cody, WY",44.5263422,-109.0565308,991,12,168,71,22,7,2,57
"65","College Station/Bryan, TX",30.627977,-96.3344068,1650,44,268,89,64,11,0,104
"66","Colorado Springs, CO",38.8338816,-104.8213634,9707,106,2357,871,656,85,1,623
